Rank,Video Uploads,Subscribers,Video views
1,82757,18752951,20869786591
2,12661,61196302,47548839843
3,373,19238251,9793305082
4,27323,31180559,22675948293
5,36756,32852346,26273668433
6,30243,17149705,16618094724
7,8500,11373567,23898730764
8,100147,12149206,17202609850
9,1140,16082927,24518098041
10,74607,2841811,2591830307
11,2085,33492951,8587520379
12,822,39409726,19291034467
13,150,7662886,2540099931
14,50,18824912,8727783225
15,16119,15899764,10989179147
16,49239,11569723,9388600275
17,4778,15830098,11102158475
18,53,-- ,1428274554
19,3060,23603062,5860444053
20,24287,17687229,14022189654
21,48,11593509,2029279311
22,3403,23440427,11666909155
23,19358,11347420,9572788450
24,1833,2137907,245437560
25,186194,712562,349096736
26,5076,14469618,6585569190
27,277,16924523,3437613314
28,555,15836366,16395683234
29,92250,2902714,2754482753
30,230,459906,224608044
31,79497,3102246,2867901827
32,91,5992452,1576070985
33,127,4746069,2250065105
34,710,7504480,2135402141
35,848,1120620,291002673
36,23504,12466776,8354699608
37,206,14011180,555853544
38,47805,10878372,7614312491
39,2201,18777612,11920370065
40,431,8816598,7498069721
41,65757,6270681,7373478009
42,102,6154173,3232954352
43,14643,4391875,5542203386
44,2943,7385239,6480263464
45,15672,5604245,3317197927
46,30,2869857,493923518
47,5704,14903053,7823927253
48,2517,16813027,7609346952
49,2204,15862389,6738087055
50,169,7546139,3919961629
51,3437,10055513,5384101851
52,19447,10796918,4220899885
53,2321,10384600,4589770470
54,10714,10490425,6239740374
55,149,8781935,4473966039
56,488,8983362,2492724832
57,136,3052780,849887197
58,317,14925769,9454820754
59,111,15720338,10355362290
60,1905,8368289,5172463467
61,348,5283050,2499031601
62,12942,12918410,10657097331
63,1010,10538694,5761524025
64,122,33961184,14521211040
65,2958,13215636,6215499269
66,137,5375332,1251331678
67,3751,5621106,4908451376
68,6466,10846501,4795061785
69,1778,9177850,4124067978
70,250,3832164,1427683110
71,19471,6456081,3686308830
72,2253,1971613,2559979914
